id,title,rating,ratingLevel,ratingDescription,release_year,user rating score,user rating size
710,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
711,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55,80
712,Bee Movie,PG,mild suggestive humor,60,2007,94,80
713,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
714,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
715,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
716,Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
717,Jessie,TV-G,Suitable for all ages.,35,2015,88,80
718,Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65,80
719,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
720,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
721,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
722,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82,80
723,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85,80
724,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,NA,82
725,Home,PG,mild action and some rude humor,60,2015,94,80
726,Paddington,PG,mild action and rude humor,60,2014,70,80
727,Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
728,Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
729,Minions,PG,action and rude humor,60,2015,96,80
730,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
731,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
732,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
733,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
734,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
735,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
736,Bunk'd,TV-G,Suitable for all ages.,35,2016,61,80
737,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
738,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
739,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
740,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
741,The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
742,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
743,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97,80
744,The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
745,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93,80
746,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96,80
747,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
748,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,NA,82
749,Growing Up Wild,G,,35,2016,80,80
750,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
751,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
752,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
753,Antz,PG,moderate adult language and intense action,60,1998,80,80
754,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
755,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,80
756,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
757,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
758,The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
759,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
760,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,80
761,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
762,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
763,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
764,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
765,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,NA,82
766,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
767,Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
768,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
769,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
