id,title,rating,ratingLevel,ratingDescription,release_year,user rating score,user rating size
975,The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
976,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,NA,82
977,Air Buddies,PG,"some mild, rude humor",60,2006,NA,82
978,Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,NA,82
979,Flicka 2,PG,some reckless behavior,60,2010,NA,82
980,H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74,80
981,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,NA,82
982,Dolphin Tale,PG,some mild thematic elements,60,2011,NA,82
983,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,NA,82
984,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,NA,82
985,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
986,Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,NA,82
987,PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74,80
988,Mia and Me,TV-Y,Suitable for all ages.,10,2015,NA,82
989,Paddington,PG,mild action and rude humor,60,2014,70,80
990,Russell Madness,PG,some rude humor and sports action,60,2015,NA,82
991,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,NA,82
992,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,80
993,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
994,Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,NA,82
995,Pup Star,G,General Audiences. Suitable for all ages.,35,2016,NA,82
996,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97,80
997,The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
998,Precious Puppies,TV-G,Suitable for all ages.,35,2003,NA,82
999,Beary Tales,TV-G,Suitable for all ages.,35,2013,NA,82
1000,Growing Up Wild,G,,35,2016,80,80
